id,Longitude,Latitude,full_address_range
102,-87.66158668,41.85594698,1402-1402 W 19TH ST
103,-87.68155227,41.87432228,506-526 N LEAVITT ST
104,-87.67809493,41.87058415,820-936 S DAMEN AVE
105,-87.66290463,41.8527686,1445-1445 W 21ST PL
106,-87.69689385,41.80867494,2916-2916 W 47TH ST
107,-87.71172815,41.79378609,3510-3510 W 55TH ST
108,-87.71170189,41.7949852,5400-5400 S ST LOUIS AVE
109,-87.71130199,41.82495608,3456-3456 W 38TH ST
110,-87.68317438,41.81096093,4551-4551 S WHIPPLE ST
111,-87.68315905,41.82263225,2323-2323 W PERSHING RD
112,-87.66576636,41.81793308,4158-4158 S ASHLAND AVE
113,-87.70723572,41.76477919,3300-3300 W 71ST ST
114,-87.6925118,41.76841928,2754-2754 W LITHUANIAN PLAZA CT
115,-87.68851997,41.75815521,7486-7486 S ROCKWELL ST
116,-87.69322964,41.7496742,2839-2839 W 79TH ST
117,-87.6697942,41.74860818,1834-1834 W 80TH ST
118,-87.66666762,41.77062957,6720-6740 S PAULINA ST
119,-87.68182799,41.7776651,2300-2300 W 64TH ST
120,-87.66014556,41.77979591,1400-1400 W 63RD ST
121,-87.66578281,41.72158913,1724-1724 W 95TH ST
122,-87.6652277,41.67897469,11840-11840 S MARSHFIELD AVE
123,-87.66462883,41.68024732,11600-11750 S MARSHFIELD AVE
124,-87.67965631,41.68781485,2320-2320 W 113TH PL
125,-87.65154236,41.97136767,831-831 W AINSLIE ST
126,-87.64966933,41.967704,4700-4700 N MARINE DR
127,-87.64975524,41.94831394,3630-3656 N HALSTED ST
128,-87.65031917,41.94782883,812-830 W ADDISON ST
129,-87.6511896,41.94755684,856-856 W ADDISON ST
130,-87.65157883,41.94587146,3511-3511 N FREMONT ST
131,-87.60614801,41.89481635,1000-1000 E OHIO ST
132,-87.61286909,41.8915821,505-505 N LAKE SHORE DRIVE
133,-87.63204011,41.92017766,2101-2101 N LINCOLN PARK
134,-87.63693144,41.92517996,2344-2344 N LINCOLN PARK
135,-87.64330381,41.89852807,845-845 N KINGSBURY ST
136,-87.63616309,41.8921238,325-325 W OHIO ST
137,-87.63988434,41.89103766,520-520 N KINGSBURY ST
138,-87.64506551,41.88873897,370-370 N DESPLAINES ST
139,-87.64216142,41.88865292,365-365 N JEFFERSON ST
140,-87.64223325,41.88539594,567-567 W LAKE ST
141,-87.61952954,41.88548483,300-300 E RANDOLPH ST
142,-87.6204638,41.8972442,220-220 E CHICAGO AVE
143,-87.63015472,41.888965,353-353 N CLARK ST
144,-87.63295606,41.88823601,300-300 N LA SALLE ST
145,-87.62293959,41.89118225,160-160 E ILLINOIS ST
146,-87.62064955,41.89309882,600-600 N FAIRBANKS CT
147,-87.61982136,41.89384615,300-330 E ONTARIO ST
148,-87.61924223,41.89386987,321-321 E ERIE ST
149,-87.62738582,41.89137296,505-505 N STATE ST
150,-87.62298468,41.89231085,167-167 E OHIO ST
151,-87.6206695,41.89129598,240-240 E ILLINOIS ST
152,-87.62622706,41.90555922,5-5 E GOETHE ST
153,-87.62712487,41.90601346,1301-1301 N ASTOR ST
154,-87.62729409,41.91072765,1555-1555 N ASTOR ST
155,-87.63275444,41.91231433,1639-1639 N LASALLE ST
156,-87.63049144,41.91096131,1544-1558 N DEARBORN PKWY
157,-87.63123754,41.91059815,59-59 W NORTH BLVD
158,-87.64300574,41.90608115,1322-1322 N CLYBOURN AVE
159,-87.64848594,41.91062274,801-801 W NORTH BLVD
160,-87.65017993,41.90990012,1561-1561 N FREMONT ST
161,-87.64563306,41.91594047,1875-1875 N ORCHARD ST
162,-87.64531262,41.89206372,659-667 W OHIO ST
163,-87.64089652,41.89491588,460-460 W HURON ST
164,-87.64089522,41.89435605,679-679 N KINGSBURY ST
165,-87.64449485,41.88408406,659-659 W RANDOLPH ST
166,-87.64231624,41.88382948,117-119 N JEFFERSON ST
167,-87.63714017,41.88839207,350-350 N ORLEANS ST
168,-87.63453035,41.88658149,211-221 W WACKER DR
169,-87.6249077,41.88399508,78-78 E WASHINGTON ST
170,-87.62572178,41.88410164,190-190 N GARLAND CT
171,-87.63038748,41.8856067,181-191 N CLARK ST
172,-87.62572167,41.88577563,171-185 N WABASH AVE
173,-87.63025345,41.88610807,201-201 N CLARK ST
174,-87.63432316,41.89143753,516-516 N WELLS ST
175,-87.62719297,41.89780562,26-26 E PEARSON ST
176,-87.62732467,41.89694905,20-24 E CHICAGO AVE
177,-87.62639518,41.89630118,745-747 N WABASH AVE
178,-87.62890355,41.89532593,1-33 W SUPERIOR ST
179,-87.63155043,41.89276255,600-620 N CLARK ST
180,-87.62909886,41.89192427,2-6 W GRAND AVE
181,-87.63180521,41.88889522,123-123 W KINZIE ST
182,-87.63347845,41.88957496,400-400 N LA SALLE DR
183,-87.63174557,41.90110896,1004-1030 N CLARK ST
184,-87.62220777,41.90029014,190-190 E WALTON PL
185,-87.62725118,41.8936171,1-1 E ERIE ST
186,-87.62917603,41.89292365,33-33 W ONTARIO ST
187,-87.64376897,41.683785,850-850 W 116TH ST
188,-87.65403558,41.67738323,1215-1215 W 119TH ST
189,-87.62655073,41.6929096,100-130 W 111TH ST
190,-87.6292056,41.70596969,240-240 W 104TH ST
191,-87.59928444,41.73698258,1000-1000 E 87TH ST
192,-87.60544093,41.74369864,8300-8300 S COTTAGE GROVE AVE
193,-87.64781448,41.77955559,911-0 W 63RD ST
194,-87.64412672,41.77950059,6311-6311 S HALSTED ST
195,-87.64362197,41.77836142,724-724 W 64TH ST
196,-87.64356135,41.77751856,725-725 W 64TH ST
197,-87.60463889,41.78447654,6054-6054 S DREXEL AVE
198,-87.60027874,41.7845229,1011-1011 E 61ST ST
199,-87.59047056,41.78420193,6100-6100 S BLACKSTONE AVE
200,-87.58977074,41.77781145,6400-6434 S DANTE AVE
