DeviceId,City,LocationName,Latitude,Longitude,ReadingDateTimeUTC,PM25,CalibratedPM25,CalibratedO3,CalibratedNO2,CO,Temperature,Humidity,BatteryLevel,PercentBattery,CellSignal,Dates,Time
2052,Chicago,Western Ave & 43rd St (SB),41.815867,-87.684764,2022-03-05 19:11:04,28.814332962036133,21.84,42.2,6.69,0.1765284687280655,22.811965942382812,46.66900634765625,4.14453125,86.01953125,-69.0,2022-03-05,19:11:04
2053,Chicago,Cottage Grove & 83rd (SB),41.7438,-87.6052,2022-03-03 00:47:45,50.17954635620117,24.43,25.74,16.47,0.13363197445869446,7.09197998046875,55.7220458984375,3.790468692779541,40.21875,-62.0,2022-03-03,00:47:45
2054,Chicago,Ashland & 43rd St (SB),41.816041,-87.665311,2022-02-28 13:56:29,131.0317840576172,29.64,21.68,27.86,0.6740698218345642,1.1132049560546875,70.30181884765625,4.04031229019165,74.83984375,-75.0,2022-02-28,13:56:29
2055,Chicago,Harrison & Central (WB),41.87288,-87.764879,2022-03-01 00:10:25,92.77734375,24.63,12.78,18.07,0.16955401003360748,8.8330078125,46.55609130859375,4.194999694824219,90.4140625,-85.0,2022-03-01,00:10:25
2056,Chicago,Fullerton & Pulaski (WB),41.924611,-87.726561,2022-03-03 06:58:23,30.736032485961914,21.66,34.18,5.83,0.05145817622542381,0.752716064453125,69.74639892578125,4.2109375,91.45703125,-89.0,2022-03-03,06:58:23
2058,Chicago,Madison & Hamlin (WB),41.8811,-87.7214,2022-03-02 23:32:50,70.67839050292969,27.92,21.5,23.64,0.28793734312057495,11.7169189453125,45.79010009765625,4.176406383514404,88.7421875,-95.0,2022-03-02,23:32:50
2060,Chicago,Kimball & Ardmore (SB),41.9861,-87.7139,2022-03-03 03:18:06,32.84268569946289,22.69,25.02,12.2,0.16733647882938385,3.465728759765625,75.15869140625,4.139062404632568,85.08203125,-98.0,2022-03-03,03:18:06
2062,Chicago,Madison & Loomis (WB),41.881625,-87.66205,2022-03-02 23:42:31,135.92723083496094,23.96,33.8,2.77,-0.8758788704872131,10.06134033203125,50.63323974609375,4.159843444824219,87.30859375,-92.0,2022-03-02,23:42:31
2063,Chicago,Belmont & Sheridan (WB),41.94,-87.6402,2022-03-03 02:44:11,33.27120590209961,23.54,29.23,18.89,0.18717369437217712,4.341583251953125,76.87225341796875,3.980781078338623,68.875,-73.0,2022-03-03,02:44:11
2065,Chicago,Broadway & Wilson Ave (SWB),41.965146,-87.657484,2022-02-27 04:20:25,89.10812377929688,24.87,24.24,15.65,0.1837291568517685,-1.7226409912109375,69.45037841796875,3.7835936546325684,32.3984375,-84.0,2022-02-27,04:20:25
2066,Chicago,Chicago & Hudson (WB),41.896633,-87.639691,2022-03-02 14:22:10,313.5679931640625,29.65,14.57,30.24,0.3917759358882904,5.9944915771484375,57.4676513671875,4.191874980926514,89.78515625,-93.0,2022-03-02,14:22:10
2067,Chicago,Sheridan & Touhy (SB),42.013052,-87.663438,2022-03-03 17:16:14,51.41476821899414,27.58,28.83,17.54,0.22466011345386505,13.514022827148438,39.4561767578125,4.182968616485596,89.3671875,-85.0,2022-03-03,17:16:14
2068,Chicago,63rd & Damen (WB),41.7793,-87.6741,2022-03-03 01:12:09,229.45892333984375,27.52,20.81,24.29,0.26700884103775024,6.659393310546875,63.6322021484375,4.168906211853027,88.11328125,-77.0,2022-03-03,01:12:09
2069,Chicago,California & Devon (SB),41.99772,-87.69975,2022-03-04 00:31:43,107.41571044921875,24.43,39.93,11.72,0.13663245737552643,-1.1031341552734375,54.87213134765625,4.088906288146973,80.46484375,-93.0,2022-03-04,00:31:43
2070,Chicago,Nargansett & Montrose (SB),41.9592,-87.7868,2022-03-04 15:09:42,46.979286193847656,28.19,20.13,28.28,0.33047938346862793,4.501800537109375,57.208251953125,4.04031229019165,75.46484375,-79.0,2022-03-04,15:09:42
2072,Chicago,Commercial & 89th (SB),41.733871,-87.551448,2022-02-28 15:10:19,186.6975860595703,29.74,21.54,21.49,0.46736136078834534,6.232147216796875,66.35284423828125,4.038906097412109,75.33984375,-93.0,2022-02-28,15:10:19
2073,Chicago,Lake Shore & Briar (SB),41.93892,-87.63806,2022-03-03 00:58:35,39.40188980102539,23.42,25.85,15.43,0.16637301445007324,3.60992431640625,76.47552490234375,4.089375019073486,80.33984375,-83.0,2022-03-03,00:58:35
2074,Chicago,Archer & Lavergne/LeClair (NEB),41.797916,-87.747366,2022-03-03 04:03:22,36.69162368774414,26.87,29.38,15.37,0.20720291137695312,4.9664306640625,69.110107421875,4.127500057220459,84.08984375,-71.0,2022-03-03,04:03:22
2076,Chicago,Cottage & 53rd (NB),41.7985,-87.6062,2022-03-02 23:23:41,127.2577133178711,24.48,25.27,16.43,0.1414649933576584,10.600738525390625,55.1666259765625,4.182499885559082,89.265625,-91.0,2022-03-02,23:23:41
2077,Chicago,Peterson & Wolcott (EB),41.990623,-87.677257,2022-03-03 01:12:11,32.92473602294922,24.63,22.74,20.66,0.21998614072799683,5.4497528076171875,70.56732177734375,4.139062404632568,85.19921875,-76.0,2022-03-03,01:12:11
2079,Chicago,Cottage & 113th (SB),41.6889,-87.6107,2022-03-03 01:21:03,37.618438720703125,26.9,21.8,18.11,0.2043517529964447,6.312255859375,68.27850341796875,4.170937538146973,88.32421875,-96.0,2022-03-03,01:21:03
2080,Chicago,63rd St & State 13 E (EB),41.7799,-87.6248,2022-03-02 02:00:45,74.83069610595703,23.31,20.02,8.93,0.1511509269475937,1.361541748046875,76.2298583984375,4.158750057220459,87.19140625,-78.0,2022-03-02,02:00:45
2081,Chicago,Western & 73rd (NB),41.7609,-87.6827,2022-03-02 11:09:45,265.5569763183594,24.39,23.79,22.72,0.18379803001880646,0.507049560546875,75.54779052734375,4.150624752044678,86.37109375,-85.0,2022-03-02,11:09:45
2082,Chicago,95th & Wentworth (WB),41.7218,-87.6287,2022-02-28 17:58:38,53.20596694946289,24.22,37.66,4.11,-2.0192503929138184,13.295059204101562,37.677001953125,4.18359375,89.3671875,-77.0,2022-02-28,17:58:38
2083,Chicago,63rd & Peoria (EB),41.7795,-87.6472,2022-03-03 21:54:44,54.734378814697266,24.43,39.26,10.2,0.1330704241991043,0.37353515625,56.8817138671875,3.822031259536743,48.6328125,-88.0,2022-03-03,21:54:44
2084,Chicago,63rd & Pulaski (EB),41.7785,-87.7214,2022-03-02 12:11:05,232.08912658691406,28.15,23.34,22.88,0.4736618101596832,1.0117340087890625,72.35260009765625,4.121874809265137,83.58984375,-61.0,2022-03-02,12:11:05
2087,Chicago,Pulaski & 71st (SB),41.76428,-87.722565,2022-02-27 02:47:00,275.58746337890625,26.85,26.44,20.45,0.28420230746269226,-2.045745849609375,72.22137451171875,3.787187337875366,40.21875,-76.0,2022-02-27,02:47:00
2090,Chicago,Archer & Mulligan/55th (NWB),41.7924,-87.7818,2022-03-03 23:07:31,51.59226608276367,24.38,39.66,3.12,0.09607457369565964,0.6699371337890625,43.92242431640625,4.148906230926514,86.13671875,-88.0,2022-03-03,23:07:31
2091,Chicago,39th & Damen (WB),41.8231,-87.6753,2022-03-03 03:45:59,31.316513061523438,23.61,22.28,20.88,0.22231386601924896,4.2641448974609375,70.07293701171875,4.197656154632568,90.7265625,-88.0,2022-03-03,03:45:59
2092,Chicago,61st & King (WB),41.7838,-87.6164,2022-03-03 03:50:12,32.17619705200195,22.84,30.48,6.79,0.016217730939388275,3.6873626708984375,67.6849365234375,4.168906211853027,88.11328125,-93.0,2022-03-03,03:50:12
2093,Chicago,Central & Prescott (SB),41.9924,-87.7654,2022-03-03 03:27:43,27.5341854095459,19.51,19.42,19.99,0.21689558029174805,4.042510986328125,78.20587158203125,4.048281192779541,76.21484375,-108.0,2022-03-03,03:27:43
