ID,Latitude,Longitude
125,41.89017,-87.6262
128,41.89577,-87.6772
89,41.87501,-87.6331
96,41.88462,-87.6446
242,41.96709,-87.679
228,41.9406,-87.6785
250,41.93608,-87.6698
386,41.79293,-87.645
337,41.89654,-87.6309
384,41.80183,-87.6452
310,41.92008,-87.6779
345,41.79324,-87.5878
511,41.91403,-87.7051
440,41.84988,-87.717
538,41.87213,-87.7466
407,41.82302,-87.6266
436,41.86662,-87.6945
444,41.84448,-87.702
490,41.94524,-87.7066
523,42.02102,-87.6651
188,41.92533,-87.6658
607,41.89817,-87.7831
578,41.75179,-87.5785
618,41.8707,-87.7788
230,41.94334,-87.671
239,41.96656,-87.6885
279,41.83066,-87.6472
503,41.9244,-87.7154
462,41.97977,-87.6758
506,41.91718,-87.7104
447,42.00797,-87.6655
343,41.92889,-87.659
419,41.79949,-87.5864
111,41.89467,-87.6384
107,41.87829,-87.6439
53,41.89488,-87.6323
66,41.88564,-87.6418
57,41.86712,-87.6411
102,41.77346,-87.5853
425,41.78794,-87.5883
284,41.87785,-87.6241
232,41.94928,-87.6463
289,41.91213,-87.6347
300,41.93773,-87.6441
478,41.9659,-87.6936
50,41.87593,-87.6306
141,41.91569,-87.6346
16,41.91034,-87.6701
138,41.90461,-87.6406
166,41.92883,-87.6685
173,41.89691,-87.6217
176,41.90297,-87.6313
179,41.82256,-87.6162
209,41.84953,-87.6406
245,41.961,-87.6496
257,41.9488,-87.6753
276,41.91044,-87.6972
238,41.96162,-87.6744
251,41.96797,-87.65
25,41.89766,-87.6235
229,41.94374,-87.664
219,41.91603,-87.6774
260,41.92957,-87.7079
23,41.90292,-87.6377
283,41.87817,-87.632
29,41.90068,-87.6626
267,41.80944,-87.5919
422,41.79157,-87.6079
434,41.8665,-87.6847
44,41.88473,-87.6277
291,41.90672,-87.6348
312,41.95788,-87.6495
41,41.87208,-87.6295
43,41.88389,-87.6246
353,42.01256,-87.6744
403,41.83453,-87.6318
330,41.94618,-87.6733
352,41.77352,-87.5771
428,41.78041,-87.5914
597,42.03256,-87.6791
62,41.85138,-87.6188
69,41.9094,-87.6777
46,41.89993,-87.6344
77,41.88224,-87.6411
510,41.90271,-87.7092
549,41.814,-87.6666
519,42.01698,-87.6777
505,41.92409,-87.6765
93,41.91369,-87.6529
140,41.89897,-87.6299
145,41.89859,-87.6219
19,41.86942,-87.661
180,41.90678,-87.6264
277,41.89107,-87.6666
448,42.00455,-87.6807
327,41.92154,-87.6538
45,41.87624,-87.6244
252,41.80984,-87.5994
376,41.88949,-87.6882
580,41.75173,-87.5528
68,41.87589,-87.6408
487,41.95216,-87.6981
475,41.96899,-87.696
479,41.96115,-87.7166
465,41.9716,-87.6502
290,41.92153,-87.7073
305,41.90289,-87.6873
484,41.954,-87.7191
157,41.93667,-87.6368
507,41.91751,-87.7018
144,41.92182,-87.6441
92,41.89456,-87.6534
190,41.92877,-87.6639
163,41.93193,-87.6779
72,41.86038,-87.6258
98,41.88266,-87.6325
211,41.89445,-87.6227
90,41.88103,-87.6241
596,42.04821,-87.6835
378,41.88445,-87.6963
255,41.86789,-87.623
154,41.93949,-87.6638
302,41.92871,-87.6538
52,41.88602,-87.6241
463,41.978,-87.668
5,41.87405,-87.6277
153,41.93573,-87.6636
159,41.90778,-87.6859
216,41.90303,-87.6975
259,41.91812,-87.697
264,41.88684,-87.6223
169,41.87434,-87.6396
303,41.94553,-87.6464
240,41.95425,-87.6544
165,41.95078,-87.6592
314,41.95792,-87.6736
524,41.89489,-87.7747
33,41.87718,-87.6278
373,41.89547,-87.7061
400,41.76572,-87.605
501,41.9319,-87.7012
51,41.88458,-87.6319
348,41.85402,-87.6954
489,41.94733,-87.7176
244,41.95469,-87.6739
603,42.05049,-87.6778
168,41.86406,-87.6237
254,41.95438,-87.648
199,41.89147,-87.6268
2,41.87639,-87.6203
213,41.91015,-87.6823
26,41.89036,-87.6175
236,41.90566,-87.6385
268,41.91172,-87.6268
326,41.9671,-87.6674
177,41.92628,-87.6308
67,41.9256,-87.6537
604,42.05824,-87.6774
468,41.98366,-87.6964
397,41.75875,-87.5601
294,41.97835,-87.6598
80,41.88042,-87.6555
34,41.92676,-87.6344
322,41.79957,-87.5947
54,41.89636,-87.6541
296,41.94011,-87.6455
298,41.95593,-87.6793
249,41.96398,-87.6382
161,41.89576,-87.6259
220,41.93262,-87.6424
304,41.94772,-87.6496
195,41.88473,-87.6195
196,41.89057,-87.6221
275,41.86523,-87.6665
287,41.88032,-87.6352
123,41.9227,-87.6972
24,41.89186,-87.6206
313,41.92586,-87.639
408,41.8191,-87.6433
4,41.85627,-87.6133
474,41.96835,-87.7118
35,41.89228,-87.612
338,41.85761,-87.6194
329,41.93268,-87.6363
359,41.90349,-87.6434
364,41.90022,-87.643
394,41.87082,-87.6312
47,41.88919,-87.6278
49,41.88132,-87.6295
56,41.88872,-87.6444
86,41.89637,-87.661
347,41.95069,-87.6687
