OBJECTID,POINT_X,POINT_Y
121,-87.6739,41.83257
122,-87.6642,41.77412
123,-87.7476,42.0316
124,-87.6656,41.68825
125,-87.7036,41.79179
126,-87.6495,41.68493
127,-87.7016,41.8081
128,-87.6567,41.9398
129,-87.7982,41.93806
130,-87.588,41.7222
131,-87.7418,41.91693
132,-87.7193,41.91719
133,-87.6821,41.80838
134,-87.8096,41.9671
135,-87.6972,41.82268
136,-87.5596,41.75929
137,-87.7033,41.87729
138,-87.7433,41.93881
139,-87.6565,41.93257
140,-87.547,41.73003
141,-87.7129,41.68402
142,-87.7741,41.86722
143,-87.6336,41.819
144,-87.6851,42.0484
145,-87.6401,41.69232
146,-87.7447,42.06232
147,-87.6938,41.87376
148,-87.6079,41.75848
149,-87.6908,41.85925
150,-87.8197,41.94517
151,-87.5543,41.73729
152,-87.7075,41.99028
153,-87.6827,41.99775
154,-87.7009,41.69513
155,-87.6997,42.00836
156,-87.6169,41.83495
157,-87.701,41.69879
158,-87.6902,42.02683
159,-87.7108,41.99047
160,-87.7744,41.79255
161,-87.6759,41.73572
162,-87.7689,41.77797
163,-87.7196,41.87451
164,-87.7165,41.73504
165,-87.6822,41.9105
166,-87.6051,41.75136
167,-87.5857,41.7662
168,-87.7493,41.8768
169,-87.7908,41.95292
170,-87.696,41.87369
171,-87.6962,41.87359
172,-87.6958,41.86635
173,-87.7468,41.77474
174,-87.7127,41.78617
175,-87.6079,41.80229
176,-87.6721,41.95435
177,-87.5382,41.7248
178,-87.5401,41.72664
179,-87.6544,41.77773
180,-87.6051,41.65572
181,-87.632,41.85109
182,-87.6614,41.85249
183,-87.6515,41.8525
184,-87.6885,41.94666
185,-87.7209,41.89534
186,-87.6838,41.69171
187,-87.7138,41.88081
188,-87.7438,41.9169
189,-87.8237,41.95229
190,-87.7228,42.05521
191,-87.7407,41.88048
192,-87.6123,41.69267
694,-87.7273,41.94141
695,-87.776,41.93121
696,-87.6853,41.83911
697,-87.724,41.93906
698,-87.5513,41.72818
699,-87.65,41.7869
700,-87.745,41.88039
701,-87.7055,41.68412
702,-87.7671,41.95332
703,-87.6235,41.85275
704,-87.678,41.92494
705,-87.647,41.87789
706,-87.7673,41.79258
707,-87.6308,41.86749
708,-87.6719,41.87633
709,-87.6257,41.80202
710,-87.62,41.89186
711,-87.6104,41.77312
712,-87.6615,41.8694
713,-87.6313,41.89076
714,-87.7674,41.96042
715,-87.7207,41.69865
716,-87.6058,41.71096
717,-87.8116,41.99993
718,-87.6454,41.79984
719,-87.645,41.7853
720,-87.7152,41.85722
721,-87.69,41.99962
722,-87.7054,41.86123
723,-87.7119,41.91908
724,-87.7862,41.9474
725,-87.6768,41.88964
726,-87.7661,41.92936
